BankID,BankName,AccountName,AccountNumber,AccountType,AccountTypeCode,AccountStatus,OpenDate,CloseDate,BaseCurrency,SettlementCurrency,InterestRate,InterestRateType,ElectronicStatementDelivery,Latest StatusChangeDate,Latest FromStatus,Latest ToStatus,BalanceType (Current),AsOfDate (Current),BalanceAmount (Current),BalanceCurrency (Current),Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
BANK4886,"Reed, Weaver and Sweeney",Amanda Bishop,7277315266,Custodial Account,AT008,Active,28-08-2022,,USD,CAD,2.36,Variable,TRUE,05-07-2025,Pending,Active,Market Value,09-10-2025,176881.49,USD,"567 David Village, North Eddie, MN 45353-7608",16344 Brian Mountain Suite 999,,North Eddie,MN,USA,45353-7608,45353,7608
BANK7763,"Johnson, Peters and Morrison",Kristy Mckinney,8427989340,Custodial Account,AT008,Matured,30-07-2021,,USD,CAD,2.88,Fixed,FALSE,29-11-2022,Active,Matured,Book Value,09-10-2025,176761.31,USD,"80297 Mccoy Lodge, East Cynthialand, MP 67832-3013",7699 Spence Stream Suite 842,Apt. 207,East Cynthialand,MP,USA,67832-3013,67832,3013
BANK2471,"Miller, Smith and Contreras",Lisa Atkins,6305706343,Checking,AT001,Matured,26-05-2006,,USD,INR,4.69,Fixed,FALSE,07-12-2023,Matured,Matured,Current Balance,09-10-2025,33263.64,USD,"8053 Landry Parkway Apt. 681, Dominiqueside, FL 50813-9950",819 Oconnor Mills,Suite 518,Dominiqueside,FL,USA,50813-9950,50813,9950
BANK3769,Schwartz-Johnson,Morgan Richards,8023768965,Loan,AT006,Pending,22-02-2009,,USD,GBP,0.17,N/A,FALSE,21-07-2025,Pending,Pending,Principal Owed,09-10-2025,69004.32,USD,"409 Fowler Plains Apt. 515, Williamsburgh, IN 57367-9711",58386 Leslie Ville Suite 905,Suite 462,Williamsburgh,IN,USA,57367-9711,57367,9711
BANK1171,"Benson, Jones and Mccann",Ethan Wilson,7463521905,Trust Account,AT009,Active,08-08-2016,,USD,CAD,4.68,Variable,TRUE,31-05-2025,Active,Active,Market Value,09-10-2025,58877.72,USD,"7208 James Square, Carloshaven, NV 90143-4778",88547 Flores Groves Suite 312,Apt. 868,Carloshaven,NV,USA,90143-4778,90143,4778
BANK6258,"Ruiz, Haynes and Boyd",Kenneth Rodriguez,5185727984,CD (Certificate of Deposit),AT003,Inactive,30-11-2012,,USD,CAD,7.09,Variable,FALSE,06-07-2024,Active,Inactive,Market Value,09-10-2025,109758.78,USD,"147 Cynthia Island, Laurachester, FM 28832-7523",45990 Herrera Spring Apt. 457,Suite 988,Laurachester,FM,USA,28832-7523,28832,7523
BANK2090,Taylor Group,Laura Spencer,7422120641,CD (Certificate of Deposit),AT003,Active,05-10-2009,,USD,USD,4.07,N/A,TRUE,30-09-2024,Pending,Active,Current Balance,09-10-2025,168985.82,USD,"30785 Ronald Isle, Lake Francis, MA 44230-6012",43100 Love Rest Apt. 295,,Lake Francis,MA,USA,44230-6012,44230,6012
BANK8836,Taylor Ltd,John Walker,3922260387,Loan,AT006,Inactive,03-07-2020,,USD,INR,1.0,Variable,FALSE,07-07-2021,Matured,Inactive,Current Balance,09-10-2025,106283.71,USD,"15805 Lori Overpass Apt. 149, Gardnerhaven, PW 11727-9433",09481 Benjamin Bridge Suite 319,Suite 514,Gardnerhaven,PW,USA,11727-9433,11727,9433
BANK8870,"Patterson, Gregory and Cameron",Alejandra Sanford,8381574014,Loan,AT006,Pending,10-01-2009,,USD,INR,4.23,N/A,TRUE,04-02-2024,Closed,Pending,Market Value,09-10-2025,171450.56,USD,"460 Jay Spring, Michaelport, CO 89220-8243",77289 Escobar Greens Suite 311,Apt. 112,Michaelport,CO,USA,89220-8243,89220,8243
BANK2656,Ramirez Ltd,Julia Peck,8990259555,Credit Card Account,AT010,Pending,18-09-2015,,USD,USD,4.1,N/A,FALSE,04-01-2021,Matured,Pending,Current Balance,09-10-2025,177290.81,USD,"953 Short Burgs, Millerfurt, UT 53009-6393",494 Anthony Flats Apt. 329,Apt. 367,Millerfurt,UT,USA,53009-6393,53009,6393
BANK4514,Booth-Johnson,Gregory Martin,5178298922,Mortgage Loan,AT011,Inactive,20-12-2016,,USD,INR,2.39,Fixed,FALSE,05-03-2024,Pending,Inactive,Available Balance,09-10-2025,103969.16,USD,"46438 Lori Camp, North Wanda, TX 69311-4149",988 Carter Drives,,North Wanda,TX,USA,69311-4149,69311,4149
BANK9082,"Smith, Gould and Johnson",Sarah Hughes,1130269177,Checking,AT001,Matured,18-03-2010,,USD,EUR,5.35,Variable,FALSE,16-05-2023,Pending,Matured,Principal Owed,09-10-2025,57430.02,USD,"188 Leslie Village Suite 477, North Joseph, PW 26468-8643",058 Walters Corners,,North Joseph,PW,USA,26468-8643,26468,8643
BANK2201,"Mcgrath, Morris and Barnes",Whitney Gray,3649566071,Trust Account,AT009,Active,15-05-2013,,USD,CAD,5.23,Fixed,FALSE,02-04-2024,Pending,Active,Market Value,09-10-2025,158337.46,USD,"8618 Noble Route Suite 900, Johnsonview, NY 89146-7942",468 Zachary Falls,,Johnsonview,NY,USA,89146-7942,89146,7942
BANK2818,"Watts, Hayes and Grant",Jenna Romero,9713191404,Checking,AT001,Pending,07-03-2013,,USD,INR,3.25,Fixed,TRUE,12-08-2021,Matured,Pending,Final Balance,09-10-2025,155428.29,USD,"3936 Collins Plaza Apt. 442, Kellytown, OK 21825-5781",39454 Morris Ways Apt. 412,Apt. 566,Kellytown,OK,USA,21825-5781,21825,5781
BANK4517,"Thomas, Thomas and Hernandez",Deborah Anderson,4193117766,Custodial Account,AT008,Closed,17-10-2007,09-12-2010,USD,EUR,5.5,N/A,TRUE,12-07-2022,Matured,Closed,Principal Owed,09-10-2025,174996.0,USD,"56066 Heather Bypass, Jacksonborough, NV 89781-9677",118 Sierra Causeway Suite 883,Apt. 463,Jacksonborough,NV,USA,89781-9677,89781,9677
BANK3996,"Smith, Byrd and Blair",Jamie Pratt,2941307619,Mortgage Loan,AT011,Inactive,04-11-2012,,USD,USD,1.19,N/A,TRUE,02-11-2021,Pending,Inactive,Principal Owed,09-10-2025,108225.93,USD,"3738 Tina Keys Apt. 840, Pachecoshire, LA 98796-4680",376 Moss Falls Suite 073,,Pachecoshire,LA,USA,98796-4680,98796,4680
BANK5815,Richardson-Curtis,Shawn Brown,6020695645,CD (Certificate of Deposit),AT003,Pending,30-07-2022,,USD,EUR,3.38,N/A,TRUE,19-12-2024,Matured,Pending,Principal Owed,09-10-2025,122561.19,USD,"46092 Joe Locks, Richardsfort, MH 81775-5692",02755 Rogers View,,Richardsfort,MH,USA,81775-5692,81775,5692
BANK8095,Collins and Sons,Sylvia Davis,3731302235,Mortgage Loan,AT011,Pending,17-10-2015,,USD,EUR,7.91,N/A,TRUE,16-08-2022,Inactive,Pending,Current Balance,09-10-2025,133386.95,USD,"175 Michael Mission Suite 302, Carrburgh, AR 64547-4270",0794 Bauer Wall,Suite 847,Carrburgh,AR,USA,64547-4270,64547,4270
BANK8011,Huffman-Martinez,Laura Porter,3567030679,Savings,AT002,Active,12-03-2013,,USD,GBP,4.45,Variable,FALSE,19-08-2021,Active,Active,Final Balance,09-10-2025,121808.78,USD,"1176 Megan Cape, Andrewhaven, OK 80739-8199",13061 Frazier Turnpike,,Andrewhaven,OK,USA,80739-8199,80739,8199
BANK5745,"Williams, Nicholson and Knapp",Denise Taylor,6328927515,Checking,AT001,Pending,08-10-2012,,USD,CAD,1.71,Fixed,TRUE,12-10-2020,Inactive,Pending,Book Value,09-10-2025,96181.51,USD,"299 Williams Junction Apt. 041, Lake Colleenton, RI 47041-1226",4705 Freeman Extensions Suite 602,,Lake Colleenton,RI,USA,47041-1226,47041,1226
BANK2834,Ortega and Sons,Alexander Montoya,3087354863,Checking,AT001,Closed,22-10-2016,17-11-2020,USD,CAD,4.19,N/A,TRUE,13-05-2023,Pending,Closed,Current Balance,09-10-2025,107403.88,USD,"283 Phillips Lock Suite 067, Josephmouth, AK 62849-4880",166 Melissa Ranch,,Josephmouth,AK,USA,62849-4880,62849,4880
BANK1451,Norris and Sons,John Sanchez,5906091146,Loan,AT006,Matured,20-09-2018,,USD,GBP,3.97,Fixed,TRUE,17-05-2024,Closed,Matured,Book Value,09-10-2025,181407.71,USD,"783 Michael Ford, Wardville, MD 70335-7752",3014 Alexandra Parks,Suite 128,Wardville,MD,USA,70335-7752,70335,7752
BANK7451,Wilson-Zimmerman,Joseph Lewis,8222028178,Custodial Account,AT008,Inactive,25-05-2015,,USD,CAD,6.58,N/A,FALSE,25-02-2024,Closed,Inactive,Principal Owed,09-10-2025,37979.78,USD,"1327 Smith Brook, South Marthaside, NE 60929-6554",267 Collins Knoll,,South Marthaside,NE,USA,60929-6554,60929,6554
BANK4022,"Beck, Mcdonald and Rodriguez",Erica Griffith,5948178239,Mortgage Loan,AT011,Pending,08-03-2007,,USD,INR,1.52,N/A,FALSE,04-03-2023,Pending,Pending,Market Value,09-10-2025,102355.6,USD,"3479 Payne Vista Apt. 832, Russellchester, WV 63143-3156",4564 Jacob Parkways,Suite 069,Russellchester,WV,USA,63143-3156,63143,3156
BANK5155,"Bullock, Wong and Garcia",Amy Stewart,3751085643,Trust Account,AT009,Pending,22-10-2007,,USD,EUR,0.14,Variable,TRUE,13-03-2024,Active,Pending,Final Balance,09-10-2025,149119.42,USD,"648 Karen Islands, Obrienview, IA 98120-7577",545 Mitchell Burg Suite 481,,Obrienview,IA,USA,98120-7577,98120,7577
BANK7741,Padilla Inc,Alyssa Wilcox,1266857384,Savings,AT002,Closed,27-04-2014,12-05-2020,USD,EUR,6.52,Variable,TRUE,14-06-2023,Inactive,Closed,Principal Owed,09-10-2025,159572.18,USD,"71085 Donald Points, Annport, PA 66906-9196",108 Lee Courts,,Annport,PA,USA,66906-9196,66906,9196
BANK6466,Ryan-Miller,Charles Blackburn,8278037683,Checking,AT001,Active,10-04-2014,,USD,CAD,6.36,N/A,FALSE,17-07-2022,Closed,Active,Current Balance,09-10-2025,193225.7,USD,"26693 Vega Row Suite 591, Port Rachel, AK 59113-2646",2785 Danny Hills Apt. 058,Suite 550,Port Rachel,AK,USA,59113-2646,59113,2646
BANK2874,Lee Ltd,Joseph Dawson,3601003988,CD (Certificate of Deposit),AT003,Matured,04-07-2017,,USD,CAD,4.78,N/A,FALSE,07-07-2023,Closed,Matured,Market Value,09-10-2025,61950.67,USD,"65100 Harrison Shoals Suite 336, Johnsonview, MP 83977-3803",610 Kimberly Gardens Apt. 790,,Johnsonview,MP,USA,83977-3803,83977,3803
BANK2817,Barnes-Peterson,Alicia Brooks,1587332187,Money Market,AT007,Matured,10-02-2019,,USD,EUR,4.95,Variable,TRUE,19-08-2022,Closed,Matured,Principal Owed,09-10-2025,139906.77,USD,"651 Mcbride Parks Suite 425, Lopezmouth, NC 57173-7463",7382 Kenneth Skyway Suite 886,Suite 813,Lopezmouth,NC,USA,57173-7463,57173,7463
BANK7875,Rivera-Robles,Bruce Welch,8708746733,Loan,AT006,Pending,31-10-2014,,USD,EUR,3.35,Fixed,TRUE,11-09-2022,Closed,Pending,Market Value,09-10-2025,13081.13,USD,"964 Tammy Rest, Lake Joshuaside, TX 10721-4774",10765 Scott Prairie Apt. 012,,Lake Joshuaside,TX,USA,10721-4774,10721,4774
BANK8974,"Woods, Gibson and Miller",Kristin Miller,1181325933,Custodial Account,AT008,Inactive,19-11-2006,,USD,CAD,2.42,Fixed,TRUE,05-12-2021,Inactive,Inactive,Book Value,09-10-2025,177383.24,USD,"0007 Palmer Cove Apt. 138, Wareside, NV 26378-5099",558 Stephens Road,,Wareside,NV,USA,26378-5099,26378,5099
BANK6180,Howard-Cooper,Summer Cook,9064893771,Mortgage Loan,AT011,Closed,11-03-2012,30-03-2019,USD,INR,2.8,N/A,FALSE,14-08-2025,Active,Closed,Current Balance,09-10-2025,190671.6,USD,"7750 Ruiz Place Suite 288, Jordanshire, DE 32458-4421",2662 Luis Cape Apt. 296,,Jordanshire,DE,USA,32458-4421,32458,4421
BANK1211,Banks-Burgess,Brooke Perry PhD,8572900473,Savings,AT002,Pending,09-12-2016,,USD,CAD,2.86,N/A,TRUE,17-04-2025,Pending,Pending,Available Balance,09-10-2025,84198.0,USD,"094 Jacob Grove Apt. 791, Lopeztown, ME 61308-1217",9737 Robinson Rapid Suite 452,,Lopeztown,ME,USA,61308-1217,61308,1217
BANK8894,Mendoza-Thompson,Charlene Collins,9096407042,CD (Certificate of Deposit),AT003,Matured,21-06-2016,,USD,GBP,4.07,N/A,TRUE,08-09-2022,Pending,Matured,Market Value,09-10-2025,105141.33,USD,"82743 Burns Route Apt. 211, South Jose, DC 95117-2537",830 Stewart Lakes Suite 049,Suite 107,South Jose,DC,USA,95117-2537,95117,2537
BANK2497,Morrison LLC,Michael Morgan,8891431801,CD (Certificate of Deposit),AT003,Inactive,05-06-2014,,USD,INR,7.12,Variable,TRUE,08-12-2022,Pending,Inactive,Current Balance,09-10-2025,85253.98,USD,"5493 Stephanie Shore, Greerbury, TX 35525-7990",44598 Edwards View,,Greerbury,TX,USA,35525-7990,35525,7990
