BankID,BankName,AccountName,AccountNumber,AccountType,AccountTypeCode,AccountStatus,OpenDate,CloseDate,BaseCurrency,SettlementCurrency,InterestRate,InterestRateType,ElectronicStatementDelivery,Latest StatusChangeDate,Latest FromStatus,Latest ToStatus,BalanceType (Current),AsOfDate (Current),BalanceAmount (Current),BalanceCurrency (Current),Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
BANK5198,Curtis-Santiago,Allison Morton,3451445415,Business Checking,AT005,Active,13-11-2010,,USD,INR,2.16,N/A,TRUE,22-12-2020,Inactive,Active,Book Value,09-10-2025,141827.67,USD,"195 Mary Landing Suite 540, Sarahside, PW 26011-9600",419 Katrina Turnpike Suite 531,Apt. 592,Sarahside,PW,USA,26011-9600,26011,9600
BANK5223,"Delgado, Richardson and Brewer",Samuel Moore,7291673919,Savings,AT002,Pending,28-05-2008,,USD,INR,6.41,N/A,TRUE,25-11-2021,Closed,Pending,Final Balance,09-10-2025,110010.53,USD,"90724 Yates Spur Suite 767, East Holly, MP 29368-1463",834 Henry Inlet Suite 534,,East Holly,MP,USA,29368-1463,29368,1463
BANK8899,Craig-Sanchez,Ms. Taylor Fowler MD,9131580297,Custodial Account,AT008,Pending,01-08-2006,,USD,INR,7.95,Fixed,TRUE,05-02-2024,Closed,Pending,Market Value,09-10-2025,101596.08,USD,"7989 Dorothy Fields, Warrenburgh, MA 31944-2623",176 Jones Street Suite 097,,Warrenburgh,MA,USA,31944-2623,31944,2623
BANK2720,"Christian, Hill and Young",Melissa Martin,9690618551,Mortgage Loan,AT011,Matured,14-12-2011,,USD,GBP,1.46,Fixed,TRUE,08-10-2023,Pending,Matured,Principal Owed,09-10-2025,81201.71,USD,"43445 Timothy Village Suite 760, Robertland, MS 12114-9203",36879 Wu Knoll Apt. 602,,Robertland,MS,USA,12114-9203,12114,9203
BANK8310,Sanchez Group,Brendan Anderson,5245077932,Money Market,AT007,Closed,12-06-2015,29-05-2016,USD,CAD,5.93,N/A,TRUE,14-02-2023,Closed,Closed,Available Balance,09-10-2025,23927.78,USD,"042 Wright Forest Suite 698, Johnsonhaven, TX 43360-9255",297 Lisa Ways,,Johnsonhaven,TX,USA,43360-9255,43360,9255
BANK7773,"Lee, Ramos and Chapman",Isabella Smith,6311823648,Savings,AT002,Active,10-10-2011,,USD,GBP,0.28,Variable,FALSE,23-11-2020,Pending,Active,Final Balance,09-10-2025,119782.72,USD,"26003 Nunez Flat Suite 536, Lake April, OH 30847-1562",1909 Lewis Ramp,,Lake April,OH,USA,30847-1562,30847,1562
BANK7613,Clarke-Walker,James Gill,5256155687,Trust Account,AT009,Pending,12-06-2006,,USD,GBP,2.74,Variable,TRUE,27-08-2022,Matured,Pending,Book Value,09-10-2025,4257.04,USD,"3760 Frank Dam, North Danielbury, WA 88720-2234",7666 Paula View Apt. 880,,North Danielbury,WA,USA,88720-2234,88720,2234
BANK3085,Crawford-Patrick,Frank Brown,6899156832,Credit Card Account,AT010,Matured,27-09-2009,,USD,GBP,3.4,Variable,TRUE,19-06-2023,Pending,Matured,Market Value,09-10-2025,17163.62,USD,"63308 Tracy Well Suite 765, Vasquezborough, WA 31132-6638",92167 Vega Road,,Vasquezborough,WA,USA,31132-6638,31132,6638
BANK2716,Clark-Caldwell,Theresa Johnston,9472179731,Credit Card Account,AT010,Closed,02-09-2022,07-04-2025,USD,INR,7.95,Variable,FALSE,15-04-2023,Closed,Closed,Book Value,09-10-2025,2416.52,USD,"7590 Haynes Skyway Suite 058, New Daniel, CT 77039-4123",538 Thomas Ports,,New Daniel,CT,USA,77039-4123,77039,4123
BANK6366,"Cohen, Rivers and Wilson",Margaret Castro,8151586980,Loan,AT006,Pending,05-08-2009,,USD,EUR,1.29,Variable,TRUE,09-09-2025,Closed,Pending,Current Balance,09-10-2025,65099.11,USD,"4251 Brandi Meadow Suite 225, Adamsside, WA 82055-2715",02889 Susan Squares Suite 602,Suite 727,Adamsside,WA,USA,82055-2715,82055,2715
BANK5254,Anderson-Valenzuela,Christopher Howe,4498848543,Money Market,AT007,Pending,10-07-2008,,USD,INR,3.59,Variable,TRUE,11-12-2022,Matured,Pending,Principal Owed,09-10-2025,101890.77,USD,"9219 Glenn Street, Hortonstad, PW 89969-6142",58411 Steven Overpass Apt. 188,Apt. 010,Hortonstad,PW,USA,89969-6142,89969,6142
BANK6913,Williams PLC,Emily Shaffer,7545836849,Credit Card Account,AT010,Active,30-05-2017,,USD,GBP,0.13,Variable,TRUE,28-07-2024,Closed,Active,Market Value,09-10-2025,104156.25,USD,"5488 Le Crescent, New Aimeetown, WA 64325-6678",953 Amanda Ramp Suite 981,Apt. 122,New Aimeetown,WA,USA,64325-6678,64325,6678
BANK9981,Freeman Inc,Alicia Ross,6729403981,Loan,AT006,Matured,22-05-2018,,USD,GBP,1.33,Fixed,FALSE,25-09-2021,Active,Matured,Available Balance,09-10-2025,107683.21,USD,"29706 Henry Throughway Apt. 910, Johnhaven, NM 50874-1925",66438 Louis Orchard Suite 369,,Johnhaven,NM,USA,50874-1925,50874,1925
BANK7601,Smith Group,Michelle Scott,7772893952,Business Checking,AT005,Closed,03-01-2021,30-03-2024,USD,CAD,7.14,Variable,FALSE,30-11-2021,Inactive,Closed,Final Balance,09-10-2025,166193.83,USD,"577 Cole Ranch, South Beverlyton, NV 94847-6297",3923 Hunter Pass Apt. 609,Suite 509,South Beverlyton,NV,USA,94847-6297,94847,6297
BANK8052,Sullivan-Mccarty,Steven Keller,4152707258,Loan,AT006,Inactive,17-02-2012,,USD,USD,6.89,N/A,FALSE,23-12-2022,Pending,Inactive,Principal Owed,09-10-2025,73028.65,USD,"6266 Wolf Rue, Harristown, ND 44457-9829",709 Tracy Cape Suite 713,Suite 553,Harristown,ND,USA,44457-9829,44457,9829
BANK4646,"Delacruz, Hall and Barrera",Madison Moses,2021198333,CD (Certificate of Deposit),AT003,Inactive,06-08-2011,,USD,EUR,2.01,Fixed,FALSE,11-09-2021,Pending,Inactive,Current Balance,09-10-2025,4592.31,USD,"487 Ashley Meadows, Alexisstad, MS 93202-5463",629 Lisa Green Suite 373,Suite 772,Alexisstad,MS,USA,93202-5463,93202,5463
BANK2327,"Thomas, Hunt and Knight",Joel Larsen,3432651122,Mortgage Loan,AT011,Closed,16-12-2009,21-06-2023,USD,GBP,5.21,Fixed,TRUE,12-04-2023,Pending,Closed,Principal Owed,09-10-2025,36183.61,USD,"1633 Jared Shoals Apt. 781, Davidsonton, WI 74915-8987",04828 Stewart Trace,Suite 181,Davidsonton,WI,USA,74915-8987,74915,8987
BANK4085,"Downs, Long and Campbell",Joshua Roth,1106856546,Money Market,AT007,Closed,09-03-2021,19-01-2025,USD,USD,0.95,Fixed,TRUE,24-05-2021,Closed,Closed,Book Value,09-10-2025,83254.37,USD,"1308 Kelly Tunnel Suite 711, West Megan, AK 46991-5724",1903 Benjamin Island,Apt. 624,West Megan,AK,USA,46991-5724,46991,5724
BANK1882,Alvarez-Hansen,Michael Ramirez,9609376371,Loan,AT006,Active,29-09-2021,,USD,EUR,6.94,Variable,TRUE,03-04-2024,Inactive,Active,Current Balance,09-10-2025,105733.33,USD,"45966 Eric Center, East Hannah, NE 77365-1248",926 James Pines,,East Hannah,NE,USA,77365-1248,77365,1248
BANK4265,"Christian, Mcdaniel and Erickson",Patricia Allen,7852590433,Mortgage Loan,AT011,Matured,27-12-2019,,USD,USD,1.41,Variable,FALSE,08-07-2023,Inactive,Matured,Market Value,09-10-2025,72556.9,USD,"23710 Mark Skyway Suite 137, East Alyssa, VT 89757-5684",15496 Barron Curve Suite 336,,East Alyssa,VT,USA,89757-5684,89757,5684
BANK3719,"Taylor, Ramirez and Warner",Emily Willis,7733970080,Savings,AT002,Matured,26-12-2018,,USD,CAD,6.89,Fixed,FALSE,06-10-2025,Active,Matured,Current Balance,09-10-2025,53339.17,USD,"06549 Lindsey View, Johnborough, ND 94479-3116",590 Johnson Point,Apt. 266,Johnborough,ND,USA,94479-3116,94479,3116
BANK9849,Cabrera Ltd,Michael Davis,6247947812,Money Market,AT007,Matured,05-01-2014,,USD,INR,6.49,N/A,FALSE,15-09-2021,Pending,Matured,Available Balance,09-10-2025,150362.92,USD,"8611 Lawrence Trafficway, Port Dianeton, NM 85510-8038",7352 Hahn Forge,Suite 004,Port Dianeton,NM,USA,85510-8038,85510,8038
BANK3273,"Wilson, Roberts and Chase",Charles Herrera,5746032762,CD (Certificate of Deposit),AT003,Pending,07-05-2017,,USD,EUR,4.53,Fixed,TRUE,26-08-2023,Active,Pending,Available Balance,09-10-2025,57740.09,USD,"2397 Justin Rapids, Guzmanhaven, ND 96819-6266",486 Thomas Ridge,,Guzmanhaven,ND,USA,96819-6266,96819,6266
BANK5312,"Taylor, Dunn and Glenn",Connie Williams,4780509880,Custodial Account,AT008,Matured,24-04-2021,,USD,EUR,1.81,N/A,TRUE,04-08-2024,Inactive,Matured,Available Balance,09-10-2025,187773.75,USD,"844 Billy Mountain Suite 515, Elizabethmouth, KY 80975-4747",677 Miles Street,,Elizabethmouth,KY,USA,80975-4747,80975,4747
BANK5073,Hill-Hughes,Pamela Ibarra,2416993615,Money Market,AT007,Pending,18-12-2021,,USD,GBP,2.03,Variable,TRUE,05-08-2023,Inactive,Pending,Available Balance,09-10-2025,154405.62,USD,"777 Penny Shoal, Lake Connie, DE 44087-9121",4182 Jones Lakes,,Lake Connie,DE,USA,44087-9121,44087,9121
BANK5334,Cortez-Young,Lisa Bradford,5894870321,Brokerage / Securities,AT004,Pending,10-11-2007,,USD,INR,8.0,Fixed,FALSE,29-03-2021,Matured,Pending,Current Balance,09-10-2025,81592.69,USD,"0045 Gutierrez Ferry Suite 100, Michaelborough, VA 42365-5970",81025 Yolanda Summit,,Michaelborough,VA,USA,42365-5970,42365,5970
BANK5759,"Mitchell, Thompson and Serrano",John Nelson,8870966431,Business Checking,AT005,Pending,20-02-2023,,USD,USD,1.16,Fixed,FALSE,03-07-2025,Active,Pending,Book Value,09-10-2025,10684.25,USD,"49098 Reilly Crest, West Tylerland, IN 32932-3947",043 Kyle Wells,Suite 386,West Tylerland,IN,USA,32932-3947,32932,3947
BANK4720,"Miller, Martin and Dougherty",Patricia Kent,3512329938,Loan,AT006,Pending,23-06-2016,,USD,INR,1.66,Variable,FALSE,02-10-2021,Closed,Pending,Principal Owed,09-10-2025,55067.57,USD,"08100 Warner Junctions Apt. 089, Saundersland, MT 29499-2907",8415 Aaron Crossing Suite 334,,Saundersland,MT,USA,29499-2907,29499,2907
BANK9981,Scott-Garcia,Mr. William Anderson PhD,1753371883,Savings,AT002,Closed,11-03-2010,23-06-2016,USD,INR,0.88,N/A,TRUE,06-06-2024,Matured,Closed,Final Balance,09-10-2025,193286.95,USD,"2989 Simon Forges Apt. 148, Ryanchester, FL 38561-1966",2894 Barber Cliff,,Ryanchester,FL,USA,38561-1966,38561,1966
BANK2225,"Sanford, Baldwin and Boyd",Joshua Dorsey,2025637032,Money Market,AT007,Matured,05-06-2022,,USD,EUR,4.5,Fixed,FALSE,07-06-2021,Matured,Matured,Available Balance,09-10-2025,76460.23,USD,"910 Jones Turnpike Suite 921, Yeseniashire, WA 59419-6342",00710 Angela Valleys Apt. 951,,Yeseniashire,WA,USA,59419-6342,59419,6342
