BankID,BankName,AccountName,AccountNumber,AccountType,AccountTypeCode,AccountStatus,OpenDate,CloseDate,BaseCurrency,SettlementCurrency,InterestRate,InterestRateType,ElectronicStatementDelivery,Latest StatusChangeDate,Latest FromStatus,Latest ToStatus,BalanceType (Current),AsOfDate (Current),BalanceAmount (Current),BalanceCurrency (Current),Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
BANK6225,Wells-Spencer,Carmen Williams,6911442728,Mortgage Loan,AT011,Matured,02-12-2020,,USD,EUR,3.55,Fixed,TRUE,07-05-2021,Closed,Matured,Market Value,09-10-2025,199714.49,USD,"55463 Michael Knoll Apt. 544, Amandachester, PR 43752-2583",24517 Newman Burg Suite 569,Suite 753,Amandachester,PR,USA,43752-2583,43752,2583
BANK1417,Schmidt-Maldonado,Patricia King,1532140494,Checking,AT001,Inactive,04-04-2011,,USD,EUR,2.49,Variable,TRUE,10-05-2025,Matured,Inactive,Principal Owed,09-10-2025,124984.85,USD,"761 Ramos Creek Suite 292, Lake Kristahaven, OK 37421-7963",84468 Maddox Islands,,Lake Kristahaven,OK,USA,37421-7963,37421,7963
BANK1641,Whitney LLC,Jacqueline Morris,7879368157,Checking,AT001,Pending,02-09-2008,,USD,GBP,6.98,N/A,TRUE,20-04-2025,Matured,Pending,Final Balance,09-10-2025,160890.37,USD,"7848 Stephanie Cliff, West Alexanderview, GA 87383-9153",3272 Moreno Route,,West Alexanderview,GA,USA,87383-9153,87383,9153
BANK3713,Higgins and Sons,Tammy Phillips,2792564475,Money Market,AT007,Matured,20-02-2014,,USD,CAD,6.28,N/A,TRUE,21-01-2022,Inactive,Matured,Book Value,09-10-2025,121198.62,USD,"75471 Jacqueline Shore Suite 899, Port Lisamouth, DE 89050-7684",657 Susan Springs,Apt. 357,Port Lisamouth,DE,USA,89050-7684,89050,7684
BANK7517,Williams-Taylor,Elizabeth Miller,6196868875,Savings,AT002,Matured,11-09-2021,,USD,USD,2.49,Fixed,FALSE,20-05-2022,Inactive,Matured,Current Balance,09-10-2025,21624.79,USD,"319 Allen Rapid, Cochranborough, MH 16025-6567",7693 Peters Fords Apt. 554,Apt. 524,Cochranborough,MH,USA,16025-6567,16025,6567
BANK4528,Wood PLC,Diane Myers,1992361947,Savings,AT002,Inactive,25-03-2023,,USD,INR,1.7,Variable,FALSE,28-09-2021,Closed,Inactive,Final Balance,09-10-2025,45698.24,USD,"148 Gregory Forks Suite 783, Lake Jessicaborough, SD 14517-1199",86297 Amanda Walks Suite 526,Apt. 155,Lake Jessicaborough,SD,USA,14517-1199,14517,1199
BANK9134,Woods Inc,April Jackson,1096599283,CD (Certificate of Deposit),AT003,Matured,17-02-2023,,USD,INR,6.29,Fixed,FALSE,25-12-2022,Inactive,Matured,Current Balance,09-10-2025,62429.24,USD,"194 Cynthia Branch Suite 518, Brettfort, MP 78203-4215",83966 Burch Extensions Suite 309,,Brettfort,MP,USA,78203-4215,78203,4215
BANK6270,Jones-Hall,Rachel Norris,3931370180,Checking,AT001,Pending,06-09-2016,,USD,EUR,7.22,N/A,FALSE,04-04-2021,Active,Pending,Current Balance,09-10-2025,139300.45,USD,"5608 Christina Ramp Suite 471, Collinfurt, MA 96123-8648",482 Rebecca Freeway Apt. 574,Suite 577,Collinfurt,MA,USA,96123-8648,96123,8648
BANK1217,"Carter, White and Adams",Derek Martinez,5556316118,CD (Certificate of Deposit),AT003,Active,12-06-2006,,USD,INR,2.75,N/A,FALSE,01-01-2024,Closed,Active,Final Balance,09-10-2025,126312.83,USD,"2297 Katherine Avenue, West Elizabethhaven, NE 81656-5502",834 Wilson Mountain Suite 352,,West Elizabethhaven,NE,USA,81656-5502,81656,5502
BANK2542,Davis-Peterson,Gary Moore,9002374518,Credit Card Account,AT010,Pending,26-12-2005,,USD,USD,4.48,N/A,FALSE,06-09-2021,Pending,Pending,Market Value,09-10-2025,80725.92,USD,"57725 Sophia Green Apt. 173, Port Zacharyville, AZ 31770-5321",5954 White Drives,Suite 594,Port Zacharyville,AZ,USA,31770-5321,31770,5321
BANK7738,Mitchell and Sons,Patrick Oneill,8472184089,Business Checking,AT005,Active,03-06-2021,,USD,EUR,4.72,Variable,TRUE,23-01-2021,Pending,Active,Principal Owed,09-10-2025,31261.25,USD,"187 Justin Islands Apt. 113, New Jonathanville, IL 65298-6100",55852 Lee Landing,Suite 690,New Jonathanville,IL,USA,65298-6100,65298,6100
BANK9602,"Morris, Matthews and Crawford",Tammie Hayes,7409515576,Loan,AT006,Inactive,26-05-2019,,USD,INR,2.06,Variable,TRUE,16-10-2021,Active,Inactive,Final Balance,09-10-2025,77228.59,USD,"10439 Brooke Turnpike Suite 117, South Gary, KY 95255-7068",5224 Veronica Ford,,South Gary,KY,USA,95255-7068,95255,7068
BANK6705,Miller Ltd,Lindsey Arellano,4872100680,Mortgage Loan,AT011,Pending,04-03-2008,,USD,EUR,2.87,Variable,TRUE,16-09-2025,Closed,Pending,Market Value,09-10-2025,150609.35,USD,"1574 Arias Meadows Apt. 695, Martinezborough, PW 47601-2613",804 Edward Forks,Suite 388,Martinezborough,PW,USA,47601-2613,47601,2613
BANK8803,"Morrison, Ray and Miles",Jermaine Carter,6156323986,Money Market,AT007,Inactive,18-09-2013,,USD,CAD,2.3,N/A,FALSE,01-03-2024,Closed,Inactive,Current Balance,09-10-2025,110726.29,USD,"1476 Campbell Highway Apt. 212, Hawkinsshire, DC 68305-7403",8803 Alexander Islands Suite 444,,Hawkinsshire,DC,USA,68305-7403,68305,7403
BANK1070,Parker Ltd,Logan Bates,2273455475,Savings,AT002,Pending,22-01-2013,,USD,USD,7.69,N/A,TRUE,03-02-2021,Matured,Pending,Available Balance,09-10-2025,152407.3,USD,"846 Jason Harbor, New Aarontown, VT 74419-5730",8938 Lauren Lights Suite 302,,New Aarontown,VT,USA,74419-5730,74419,5730
BANK6998,Stewart LLC,Diane Waller,1999394416,Brokerage / Securities,AT004,Inactive,02-09-2019,,USD,EUR,0.91,Fixed,TRUE,30-06-2025,Inactive,Inactive,Available Balance,09-10-2025,122432.23,USD,"113 Barnett Plains Apt. 140, Leeton, MS 21831-3462",3507 Bates Place,,Leeton,MS,USA,21831-3462,21831,3462
BANK2678,Rollins-Hill,Darlene Rivera,9971843716,Business Checking,AT005,Pending,14-12-2022,,USD,CAD,2.54,N/A,FALSE,15-05-2021,Active,Pending,Available Balance,09-10-2025,139300.55,USD,"187 Christina Ways, Lake Josephfurt, GA 64896-1036",5143 Armstrong Track,,Lake Josephfurt,GA,USA,64896-1036,64896,1036
BANK2924,Larsen LLC,Amanda Le,8062206279,Credit Card Account,AT010,Pending,08-06-2010,,USD,CAD,6.39,Variable,TRUE,31-10-2022,Closed,Pending,Principal Owed,09-10-2025,138013.01,USD,"42037 Monica Squares Suite 148, Clarkchester, MD 10507-2713",94199 Arnold Ridges Suite 549,,Clarkchester,MD,USA,10507-2713,10507,2713
BANK8487,"Neal, Flores and Hines",Mrs. Dana Miller MD,3865899483,Trust Account,AT009,Inactive,24-04-2015,,USD,INR,3.49,Fixed,FALSE,21-01-2021,Pending,Inactive,Final Balance,09-10-2025,108312.86,USD,"1806 Robinson Camp, Hernandezberg, PR 49176-4752",9906 Brittany Junctions Apt. 813,Apt. 043,Hernandezberg,PR,USA,49176-4752,49176,4752
BANK8373,Tucker-Anderson,Sara Wilson,1140227552,Savings,AT002,Matured,04-06-2019,,USD,CAD,4.32,Variable,FALSE,06-10-2024,Closed,Matured,Book Value,09-10-2025,2594.69,USD,"380 Salas Brooks Apt. 361, Hamiltonton, ND 53548-7101",3366 Leslie Roads Suite 959,Apt. 865,Hamiltonton,ND,USA,53548-7101,53548,7101
BANK1341,Gentry PLC,Rebecca Collins,3237190052,Custodial Account,AT008,Closed,18-09-2007,09-10-2007,USD,USD,5.67,N/A,TRUE,16-11-2024,Pending,Closed,Principal Owed,09-10-2025,25367.25,USD,"679 James Extensions Apt. 648, East Chelsea, IN 32733-7287",680 Gonzalez Knolls,,East Chelsea,IN,USA,32733-7287,32733,7287
